Date,Open,High,Low,Close,Adj Close,Volume
1989-02-01,3.593750,3.734375,3.421875,3.468750,1.138232,17584800
1989-03-01,3.453125,3.531250,3.359375,3.515625,1.153612,22080800
1989-04-01,3.515625,3.906250,3.500000,3.796875,1.298798,21514400
1989-05-01,3.781250,4.125000,3.625000,4.093750,1.400350,17226400
1989-06-01,4.093750,4.296875,3.765625,3.828125,1.309488,18478400
1989-07-01,3.796875,4.312500,3.796875,4.265625,1.516383,20335200
1989-08-01,4.265625,4.687500,4.265625,4.656250,1.655245,21449600
1989-09-01,4.656250,4.796875,4.390625,4.765625,1.694127,13985600
1989-10-01,4.750000,5.109375,4.593750,4.687500,1.725243,21180000
1989-11-01,4.703125,4.859375,4.578125,4.640625,1.707991,17397600
1989-12-01,4.640625,4.937500,4.281250,4.906250,1.805755,22002400
1990-01-01,4.906250,5.062500,4.281250,4.359375,1.659654,30180000
1990-02-01,4.375000,4.765625,4.312500,4.421875,1.683449,16041600
1990-03-01,4.390625,4.781250,4.390625,4.703125,1.790523,20812000
1990-04-01,4.671875,4.750000,4.406250,4.437500,1.748087,17883200
1990-05-01,4.437500,4.984375,4.312500,4.953125,1.951209,28160800
1990-06-01,4.984375,5.406250,4.968750,5.078125,2.000451,22160800
1990-07-01,5.078125,5.312500,4.703125,4.843750,1.973540,22842400
1990-08-01,4.750000,4.750000,3.906250,4.015625,1.636129,33418400
1990-09-01,3.968750,4.000000,3.312500,3.562500,1.451508,27344800
1990-10-01,3.578125,3.843750,2.843750,2.875000,1.228145,37848800
1990-11-01,2.843750,4.328125,2.734375,4.125000,1.762121,55955200
1990-12-01,4.171875,4.546875,3.953125,4.359375,1.862241,20695200
1991-01-01,4.375000,4.671875,3.859375,4.484375,1.997836,35427200
1991-02-01,4.531250,5.468750,4.468750,5.156250,2.297164,28780800
1991-03-01,5.125000,6.093750,5.031250,5.687500,2.533841,34788000
1991-04-01,5.687500,6.203125,5.468750,5.937500,2.729055,51232000
